Quote,Start Location,End Location,Is Quote
"""She took it out a minute ago, and went off with it to put a ribbon on
it, or some such notion,""",38241,38337,True
"""How nice my handkerchiefs look, don't they? Hannah washed and ironed
them for me, and I marked them all myself,""",38429,38542,True
"""Bless the child! she's gone and put 'Mother' on them instead of 'M.
March.' How funny!""",38633,38721,True
"""Isn't it right? I thought it was better to do it so, because Meg's
initials are 'M. M.,' and I don't want any one to use these but Marmee,""",38748,38888,True
"""It's all right, dear, and a very pretty idea,--quite sensible, too, for
no one can ever mistake now. It will please her very much, I know,""",38919,39059,True
"""There's mother. Hide the basket, quick!""",39113,39154,True
"""Where have you been, and what are you hiding behind you?""",39310,39368,True
"""Don't laugh at me, Jo! I didn't mean any one should know till the time
came. I only meant to change the little bottle for a big one, and I gave
_all_ my money to get it, and I'm truly trying not to be selfish any
more.""",39459,39679,True
"""a
trump,""",39882,39892,True
"""You see I felt ashamed of my present, after reading and talking about
being good this morning, so I ran round the corner and changed it the
minute I was up: and I'm _so_ glad, for mine is the handsomest now.""",39983,40192,True
"""Merry Christmas, Marmee! Many of them! Thank you for our books; we read
some, and mean to every day,""",40308,40410,True
"""Merry Christmas, little daughters! I'm glad you began at once, and hope
you will keep on. But I want to say one word before we sit down. Not far
away from here lies a poor woman with a little new-born baby. Six
children are huddled into one bed to keep from freezing, for they have
no fire. There is nothing to eat over there; and the oldest boy came to
tell me they were suffering hunger and cold. My girls, will you give
them your breakfast as a Christmas present?""",40435,40903,True
"""I'm so glad you came before we began!""",41046,41085,True
"""May I go and help carry the things to the poor little children?""",41087,41152,True
"""_I_ shall take the cream and the muffins,""",41175,41218,True
"""I thought you'd do it,""",41364,41388,True
"""You
shall all go and help me, and when we come back we will have bread and
milk for breakfast, and make it up at dinner-time.""",41431,41558,True
"""Ach, mein Gott! it is good angels come to us!""",42069,42116,True
"""Funny angels in hoods and mittens,""",42155,42191,True
"""Das ist gut!""",42752,42766,True
"""Die Engel-kinder!""",42767,42786,True
"""Sancho""",43007,43015,True
"""That's loving our neighbor better than ourselves, and I like it,""",43344,43410,True
"""She's coming! Strike up, Beth! Open the door, Amy! Three cheers for
Marmee!""",43765,43842,True
"""perfect fit.""",44361,44375,True
