Quote,Start Location,End Location,Is Quote
"""I am here to-night to warn you, that you
have yet a chance and hope of escaping my fate. A
chance and hope of my procuring, Ebenezer.""",34222,34357,True
"""You were always a good friend to me,""",34359,34397,True
"""Thank'ee!""",34412,34423,True
"""You will be haunted,""",34425,34447,True
"""by
Three Spirits.""",34467,34486,True
"""Is that the chance and hope you mentioned,
Jacob?""",34555,34606,True
"""It is.""",34643,34651,True
"""I--I think I'd rather not,""",34653,34681,True
"""Without their visits,""",34697,34720,True
"""you cannot
hope to shun the path I tread. Expect the first to-morrow,
when the bell tolls One.""",34737,34833,True
"""Couldn't I take 'em all at once, and have it over,
Jacob?""",34835,34894,True
"""Expect the second on the next night at the same
hour. The third upon the next night when the last
stroke of Twelve has ceased to vibrate. Look to see
me no more; and look that, for your own sake, you
remember what has passed between us!""",34912,35150,True
"""Humbug!""",7282,7291,True
"""Why, it isn't possible,""",38404,38429,True
"""that I can have
slept through a whole day and far into another night. It
isn't possible that anything has happened to the sun, and
this is twelve at noon!""",38444,38600,True
"""three days after sight
of this First of Exchange pay to Mr. Ebenezer Scrooge or his
order,""",39132,39224,True
"""Was it a dream or not?""",39823,39847,True
"""Ding, dong!""",40376,40389,True
"""A quarter past,""",40391,40408,True
"""Ding, dong!""",40376,40389,True
"""Half-past!""",40449,40461,True
"""Ding, dong!""",40376,40389,True
"""A quarter to it,""",40492,40510,True
"""Ding, dong!""",40376,40389,True
"""The hour itself,""",40541,40559,True
"""and nothing else!""",40588,40607,True
"""Are you the Spirit, sir, whose coming was foretold to
me?""",42955,43014,True
"""I am!""",43031,43038,True
"""Who, and what are you?""",43155,43179,True
"""I am the Ghost of Christmas Past.""",43199,43234,True
"""Long Past?""",43236,43248,True
"""No. Your past.""",43303,43319,True
"""What!""",43493,43500,True
"""would you so soon put out,
with worldly hands, the light I give? Is it not enough
that you are one of those whose passions made this cap, and
force me through whole trains of years to wear it low upon
my brow!""",43522,43733,True
"""bonneted""",43825,43835,True
"""Your welfare!""",43937,43952,True
"""Your reclamation, then. Take heed!""",44179,44215,True
"""Rise! and walk with me!""",44293,44318,True
"""I am a mortal,""",44791,44807,True
"""and liable to fall.""",44830,44851,True
"""Bear but a touch of my hand there,""",44853,44889,True
"""and you shall be upheld in more
than this!""",44933,44977,True
"""Good Heaven!""",45282,45296,True
"""I was bred in this place. I was
a boy here!""",45364,45409,True
"""Your lip is trembling,""",45724,45748,True
"""And what is
that upon your cheek?""",45765,45800,True
"""You recollect the way?""",45931,45955,True
"""Remember it!""",45978,45992,True
"""I could
walk it blindfold.""",46021,46049,True
"""Strange to have forgotten it for so many years!""",46051,46100,True
"""Let us go on.""",46121,46136,True
"""These are but shadows of the things that have been,""",46630,46683,True
"""They have no consciousness of us.""",46700,46735,True
"""The school is not quite deserted,""",47199,47234,True
